theta,correlation rate
-1.46952,-0.181733
-1.46324,-0.180786
-1.45696,-0.18059
-1.45068,-0.178991
-1.4444,-0.176778
-1.43812,-0.174137
-1.43184,-0.173033
-1.42556,-0.172452
-1.41928,-0.16119
-1.413,-0.159759
-1.40672,-0.159297
-1.40044,-0.159315
-1.39416,-0.159224
-1.38788,-0.160597
-1.3816,-0.160559
-1.37532,-0.160223
-1.36904,-0.159134
-1.36276,-0.158063
-1.35648,-0.157968
-1.3502,-0.154852
-1.34392,-0.153581
-1.33764,-0.149587
-1.33136,-0.149773
-1.32508,-0.148874
-1.3188,-0.144264
-1.31252,-0.141721
-1.30624,-0.139844
-1.29996,-0.142306
-1.29368,-0.145276
-1.2874,-0.142112
-1.28112,-0.142259
-1.27484,-0.142342
-1.26856,-0.142744
-1.26228,-0.144844
-1.256,-0.148368
-1.24972,-0.153723
-1.24344,-0.14865
-1.23716,-0.14754
-1.23088,-0.150123
-1.2246,-0.15104
-1.21832,-0.154412
-1.21204,-0.155381
-1.20576,-0.159048
-1.19948,-0.160308
-1.1932,-0.158954
-1.18692,-0.158264
-1.18064,-0.158281
-1.17436,-0.158389
-1.16808,-0.15842
-1.1618,-0.157234
-1.15552,-0.155526
-1.14924,-0.155634
-1.14296,-0.155182
-1.13668,-0.162765
-1.1304,-0.162736
-1.12412,-0.163281
-1.11784,-0.161828
-1.11156,-0.161272
-1.10528,-0.160636
-1.099,-0.160851
-1.09272,-0.164522
-1.08644,-0.164712
-1.08016,-0.164306
-1.07388,-0.159592
-1.0676,-0.156882
-1.06132,-0.154142
-1.05504,-0.150604
-1.04876,-0.148375
-1.04248,-0.144203
-1.0362,-0.14148
-1.02992,-0.140099
-1.02364,-0.146244
-1.01736,-0.151509
-1.01108,-0.156591
-1.0048,-0.161994
-0.99852,-0.164977
-0.99224,-0.166188
-0.98596,-0.167327
-0.97968,-0.169655
-0.9734,-0.170792
-0.96712,-0.170542
-0.96084,-0.169539
-0.95456,-0.170122
-0.94828,-0.170265
-0.942,-0.166337
-0.93572,-0.163555
-0.92944,-0.157604
-0.92316,-0.154534
-0.91688,-0.154462
-0.9106,-0.151236
-0.90432,-0.147879
-0.89804,-0.146483
-0.89176,-0.142867
-0.88548,-0.140065
-0.8792,-0.136658
-0.87292,-0.134171
-0.86664,-0.134007
-0.86036,-0.130339
-0.85408,-0.128049
-0.8478,-0.129201
-0.84152,-0.132816
-0.83524,-0.132805
-0.82896,-0.135719
-0.82268,-0.137607
-0.8164,-0.13944
-0.81012,-0.139218
-0.80384,-0.137655
-0.79756,-0.136168
-0.79128,-0.134356
-0.785,-0.131518
-0.77872,-0.127436
-0.77244,-0.122181
-0.76616,-0.115853
-0.75988,-0.10935
-0.7536,-0.104061
-0.74732,-0.0997232
-0.74104,-0.0964903
-0.73476,-0.093512
-0.72848,-0.0924154
-0.7222,-0.0895219
-0.71592,-0.0875738
-0.70964,-0.0848941
-0.70336,-0.0865542
-0.69708,-0.092832
-0.6908,-0.100129
-0.68452,-0.106759
-0.67824,-0.112065
-0.67196,-0.11684
-0.66568,-0.120178
-0.6594,-0.120824
-0.65312,-0.120249
-0.64684,-0.115249
-0.64056,-0.112414
-0.63428,-0.106226
-0.628,-0.0977464
-0.62172,-0.0895768
-0.61544,-0.0823059
-0.60916,-0.0752484
-0.60288,-0.0708606
-0.5966,-0.0703039
-0.59032,-0.070025
-0.58404,-0.0728555
-0.57776,-0.0773031
-0.57148,-0.0801081
-0.5652,-0.0821995
-0.55892,-0.0816156
-0.55264,-0.0793486
-0.54636,-0.0773877
-0.54008,-0.0733651
-0.5338,-0.0633913
-0.52752,-0.0542607
-0.52124,-0.043451
-0.51496,-0.0347425
-0.50868,-0.03504
-0.5024,-0.0325681
-0.49612,-0.03441
-0.48984,-0.0412508
-0.48356,-0.0501247
-0.47728,-0.0586394
-0.471,-0.0615407
-0.46472,-0.0629428
-0.45844,-0.055932
-0.45216,-0.0476233
-0.44588,-0.0394031
-0.4396,-0.0342654
-0.43332,-0.0282903
-0.42704,-0.0228716
-0.42076,-0.0144375
-0.41448,-0.011953
-0.4082,-0.00612037
-0.40192,-0.00548957
-0.39564,-0.00780027
-0.38936,-0.00524189
-0.38308,-0.00245395
-0.3768,-0.0026471
-0.37052,0.000624534
-0.36424,0.00966572
-0.35796,0.0174228
-0.35168,0.0265591
-0.3454,0.0349113
-0.33912,0.0441043
-0.33284,0.050963
-0.32656,0.0502029
-0.32028,0.0466131
-0.314,0.0434963
-0.30772,0.0404154
-0.30144,0.0396002
-0.29516,0.0368085
-0.28888,0.0426667
-0.2826,0.0490086
-0.27632,0.0642481
-0.27004,0.0785408
-0.26376,0.0913355
-0.25748,0.102829
