theta,correlation rate
-3.14,-0.264067
-3.13372,-0.265036
-3.12744,-0.265055
-3.12116,-0.264829
-3.11488,-0.262718
-3.1086,-0.261261
-3.10232,-0.261002
-3.09604,-0.258788
-3.08976,-0.257904
-3.08348,-0.257553
-3.0772,-0.257097
-3.07092,-0.256218
-3.06464,-0.25468
-3.05836,-0.254082
-3.05208,-0.253404
-3.0458,-0.251932
-3.03952,-0.250049
-3.03324,-0.249279
-3.02696,-0.248767
-3.02068,-0.247457
-3.0144,-0.247241
-3.00812,-0.245811
-3.00184,-0.244492
-2.99556,-0.243727
-2.98928,-0.243164
-2.983,-0.24312
-2.97672,-0.242429
-2.97044,-0.242694
-2.96416,-0.242273
-2.95788,-0.240932
-2.9516,-0.240155
-2.94532,-0.2405
-2.93904,-0.23918
-2.93276,-0.23827
-2.92648,-0.237564
-2.9202,-0.236238
-2.91392,-0.236857
-2.90764,-0.236177
-2.90136,-0.234113
-2.89508,-0.234495
-2.8888,-0.233287
-2.88252,-0.232679
-2.87624,-0.231784
-2.86996,-0.231664
-2.86368,-0.231558
-2.8574,-0.231239
-2.85112,-0.230711
-2.84484,-0.229646
-2.83856,-0.229684
-2.83228,-0.229524
-2.826,-0.226474
-2.81972,-0.22735
-2.81344,-0.225011
-2.80716,-0.225211
-2.80088,-0.225208
-2.7946,-0.225397
-2.78832,-0.225222
-2.78204,-0.225585
-2.77576,-0.225752
-2.76948,-0.225954
-2.7632,-0.225997
-2.75692,-0.226218
-2.75064,-0.227112
-2.74436,-0.226524
-2.73808,-0.226463
-2.7318,-0.227623
-2.72552,-0.228616
-2.71924,-0.227432
