theta,correlation rate
-3.14,-0.311581
-3.13372,-0.313964
-3.12744,-0.311798
-3.12116,-0.305329
-3.11488,-0.299542
-3.1086,-0.301687
-3.10232,-0.301087
-3.09604,-0.299534
-3.08976,-0.296273
-3.08348,-0.292463
-3.0772,-0.287288
-3.07092,-0.283368
-3.06464,-0.275242
-3.05836,-0.270359
-3.05208,-0.265363
-3.0458,-0.257679
-3.03952,-0.253381
-3.03324,-0.252357
-3.02696,-0.256157
-3.02068,-0.260681
-3.0144,-0.261679
-3.00812,-0.261938
-3.00184,-0.263901
-2.99556,-0.2657
-2.98928,-0.266306
-2.983,-0.27275
-2.97672,-0.273435
-2.97044,-0.272835
-2.96416,-0.263409
-2.95788,-0.259298
-2.9516,-0.254272
-2.94532,-0.249848
-2.93904,-0.232547
-2.93276,-0.233059
-2.92648,-0.231422
-2.9202,-0.23514
-2.91392,-0.235694
-2.90764,-0.238155
-2.90136,-0.234911
-2.89508,-0.234387
-2.8888,-0.23955
-2.88252,-0.242228
-2.87624,-0.242954
-2.86996,-0.247619
-2.86368,-0.249935
-2.8574,-0.251663
-2.85112,-0.24958
-2.84484,-0.254407
-2.83856,-0.252176
-2.83228,-0.250116
-2.826,-0.243585
-2.81972,-0.244601
-2.81344,-0.240271
-2.80716,-0.239336
-2.80088,-0.235183
-2.7946,-0.230375
-2.78832,-0.223976
-2.78204,-0.222334
-2.77576,-0.226848
-2.76948,-0.234208
-2.7632,-0.234417
-2.75692,-0.238305
-2.75064,-0.243139
-2.74436,-0.247086
-2.73808,-0.253373
-2.7318,-0.253809
-2.72552,-0.252486
-2.71924,-0.231706
-2.71296,-0.228309
-2.70668,-0.226483
-2.7004,-0.226759
-2.69412,-0.223501
-2.68784,-0.218245
-2.68156,-0.221773
-2.67528,-0.222393
-2.669,-0.226047
-2.66272,-0.230014
-2.65644,-0.2338
-2.65016,-0.212878
-2.64388,-0.212017
-2.6376,-0.215133
-2.63132,-0.213251
-2.62504,-0.211663
-2.61876,-0.211012
-2.61248,-0.205537
-2.6062,-0.204902
-2.59992,-0.203165
-2.59364,-0.20159
-2.58736,-0.204333
-2.58108,-0.201865
-2.5748,-0.205983
-2.56852,-0.206537
-2.56224,-0.2083
-2.55596,-0.209764
-2.54968,-0.21071
-2.5434,-0.212127
-2.53712,-0.211631
-2.53084,-0.214537
-2.52456,-0.209999
-2.51828,-0.212898
-2.512,-0.215527
-2.50572,-0.220839
-2.49944,-0.222532
-2.49316,-0.224159
-2.48688,-0.221304
-2.4806,-0.226789
-2.47432,-0.228734
-2.46804,-0.225938
-2.46176,-0.225254
-2.45548,-0.228455
-2.4492,-0.232728
-2.44292,-0.230266
-2.43664,-0.229982
-2.43036,-0.228612
-2.42408,-0.227086
-2.4178,-0.22577
-2.41152,-0.223919
-2.40524,-0.221992
-2.39896,-0.224718
-2.39268,-0.228169
-2.3864,-0.22867
-2.38012,-0.237518
-2.37384,-0.244093
-2.36756,-0.250035
-2.36128,-0.25219
-2.355,-0.253938
-2.34872,-0.255395
-2.34244,-0.255541
-2.33616,-0.251183
-2.32988,-0.265555
-2.3236,-0.2647
-2.31732,-0.270291
-2.31104,-0.267202
-2.30476,-0.260627
-2.29848,-0.257008
-2.2922,-0.253883
-2.28592,-0.268967
-2.27964,-0.271216
-2.27336,-0.275375
-2.26708,-0.282561
-2.2608,-0.282555
-2.25452,-0.284356
-2.24824,-0.285152
-2.24196,-0.285405
-2.23568,-0.285818
-2.2294,-0.281758
-2.22312,-0.281985
-2.21684,-0.2815
-2.21056,-0.277838
-2.20428,-0.274417
-2.198,-0.284925
-2.19172,-0.283027
-2.18544,-0.280812
-2.17916,-0.278597
-2.17288,-0.273847
-2.1666,-0.27317
-2.16032,-0.277643
-2.15404,-0.288839
-2.14776,-0.291323
-2.14148,-0.292651
-2.1352,-0.293992
-2.12892,-0.291683
-2.12264,-0.296469
-2.11636,-0.298032
-2.11008,-0.299915
-2.1038,-0.30124
-2.09752,-0.301505
-2.09124,-0.304278
-2.08496,-0.303452
-2.07868,-0.304089
-2.0724,-0.299054
-2.06612,-0.293971
-2.05984,-0.292552
-2.05356,-0.287201
-2.04728,-0.281734
-2.041,-0.283691
-2.03472,-0.282675
-2.02844,-0.280403
-2.02216,-0.277742
-2.01588,-0.276813
-2.0096,-0.277934
-2.00332,-0.277309
-1.99704,-0.276682
-1.99076,-0.274496
-1.98448,-0.279471
-1.9782,-0.28449
-1.97192,-0.281871
-1.96564,-0.276845
-1.95936,-0.274814
-1.95308,-0.274563
-1.9468,-0.274651
-1.94052,-0.276567
-1.93424,-0.274515
-1.92796,-0.270457
-1.92168,-0.272561
-1.9154,-0.267538
-1.90912,-0.265967
-1.90284,-0.268161
-1.89656,-0.271198
-1.89028,-0.270611
-1.884,-0.263342
-1.87772,-0.263076
-1.87144,-0.262668
-1.86516,-0.254327
-1.85888,-0.253474
-1.8526,-0.257895
-1.84632,-0.257319
-1.84004,-0.251653
-1.83376,-0.2489
-1.82748,-0.24682
-1.8212,-0.241232
-1.81492,-0.239336
-1.80864,-0.236692
-1.80236,-0.235925
-1.79608,-0.232842
-1.7898,-0.232706
-1.78352,-0.234122
-1.77724,-0.241906
