p_x,loss
-17.5,0.122199
-17.4,0.122296
-17.3,0.122822
-17.2,0.123778
-17.1,0.125162
-17,0.126127
-16.9,0.123933
-16.8,0.122165
-16.7,0.120824
-16.6,0.119909
-16.5,0.119421
-16.4,0.119359
-16.3,0.119723
-16.2,0.120514
-16.1,0.121731
-16,0.122555
-15.9,0.120138
-15.8,0.118143
-15.7,0.116573
-15.6,0.115425
-15.5,0.114702
-15.4,0.114402
-15.3,0.114525
-15.2,0.115073
-15.1,0.116043
-15,0.116663
-14.9,0.114174
-14.8,0.112105
-14.7,0.110457
-14.6,0.109231
-14.5,0.108424
-14.4,0.108039
-14.3,0.108074
-14.2,0.10853
-14.1,0.109407
-14,0.10998
-13.9,0.107589
-13.8,0.105616
-13.7,0.104062
-13.6,0.102925
-13.5,0.102206
-13.4,0.101906
-13.3,0.102023
-13.2,0.102559
-13.1,0.103512
-13,0.104201
-12.9,0.102037
-12.8,0.100289
-12.7,0.098956
-12.6,0.0980383
-12.5,0.0975358
-12.4,0.0974486
-12.3,0.0977767
-12.2,0.0985201
-12.1,0.0996787
-12,0.100598
-11.9,0.0986178
-11.8,0.0970501
-11.7,0.0958949
-11.6,0.0951523
-11.5,0.0948223
-11.4,0.0949048
-11.3,0.0954
-11.2,0.0963077
-11.1,0.0976279
-11,0.0987227
-10.9,0.0967102
-10.8,0.0951076
-10.7,0.0939149
-10.6,0.0931322
-10.5,0.0927593
-10.4,0.0927964
-10.3,0.0932433
-10.2,0.0941002
-10.1,0.095367
-10,0.0964246
-9.9,0.0942453
-9.8,0.0924732
-9.7,0.0911084
-9.6,0.090151
-9.5,0.0896008
-9.4,0.0894579
-9.3,0.0897222
-9.2,0.0903939
-9.1,0.0914728
-9,0.0923699
-8.9,0.0900885
-8.8,0.0882118
-8.7,0.0867398
-8.6,0.0856725
-8.5,0.0850099
-8.4,0.084752
-8.3,0.0848987
-8.2,0.0854502
-8.1,0.0864063
-8,0.0872146
-7.9,0.0851399
-7.8,0.0834674
-7.7,0.0821969
-7.6,0.0813286
-7.5,0.0808625
-7.4,0.0807984
-7.3,0.0811365
-7.2,0.0818767
-7.1,0.0830191
-7,0.0840393
-6.9,0.0823983
-6.8,0.0811569
-6.7,0.0803151
-6.6,0.0798729
-6.5,0.0798303
-6.4,0.0801872
-6.3,0.0809438
-6.2,0.0821
-6.1,0.0836558
-6,0.0850842
-5.9,0.0836041
-5.8,0.0825212
-5.7,0.0818353
-5.6,0.0815466
-5.5,0.081655
-5.4,0.0821604
-5.3,0.083063
-5.2,0.0843626
-5.1,0.0860594
-5,0.0876144
-4.9,0.0857169
-4.8,0.084214
-4.7,0.0831058
-4.6,0.0823922
-4.5,0.0820732
-4.4,0.0821489
-4.3,0.0826192
-4.2,0.0834841
-4.1,0.0847437
-4,0.0858765
-3.9,0.0829725
-3.8,0.0804608
-3.7,0.0783413
-3.6,0.076614
-3.5,0.0752788
-3.4,0.0743359
-3.3,0.0737852
-3.2,0.0736267
-3.1,0.0738604
-3,0.0740322
-2.9,0.0699488
-2.8,0.0662552
-2.7,0.0629514
-2.6,0.0600375
-2.5,0.0575134
-2.4,0.0553791
-2.3,0.0536346
-2.2,0.0522799
-2.1,0.051315
-2,0.0504328
-1.9,0.0455835
-1.8,0.0411217
-1.7,0.0370474
-1.6,0.0333606
-1.5,0.0300613
-1.4,0.0271496
-1.3,0.0246253
-1.2,0.0224885
-1.1,0.0207393
-1,0.019261
-0.9,0.0156014
-0.8,0.012327
-0.7,0.00943789
-0.6,0.00693396
-0.5,0.00481525
-0.4,0.00308176
-0.3,0.00173349
-0.2,0.00077044
-0.1,0.00019261
4.41619e-13,1.16204e-27
0.1,0.000191479
0.2,0.000765917
0.3,0.00172331
0.4,0.00306367
0.5,0.00478698
0.6,0.00689325
0.7,0.00938248
0.8,0.0122547
0.9,0.0155098
1,0.019261
1.1,0.0206151
1.2,0.0223545
1.3,0.0244792
1.4,0.0269891
1.5,0.0298842
1.6,0.0331647
1.7,0.0368304
1.8,0.0408813
1.9,0.0453175
2,0.0504328
2.1,0.0510058
2.2,0.0519665
2.3,0.0533147
2.4,0.0550506
2.5,0.057174
2.6,0.0596851
2.7,0.0625838
2.8,0.06587
2.9,0.0695439
3,0.0740322
3.1,0.073412
3.2,0.0731819
3.3,0.0733417
3.4,0.0738915
3.5,0.0748313
3.6,0.076161
3.7,0.0778808
3.8,0.0799905
3.9,0.0824902
4,0.0858765
4.1,0.084236
4.2,0.0829875
4.3,0.0821308
4.4,0.081666
4.5,0.0815932
4.6,0.0819122
4.7,0.0826231
4.8,0.083726
4.9,0.0852207
5,0.0876144
5.1,0.0855375
5.2,0.0838549
5.3,0.0825666
5.4,0.0816726
5.5,0.081173
5.6,0.0810676
5.7,0.0813567
5.8,0.08204
5.9,0.0831177
6,0.0850842
6.1,0.083145
6.2,0.0816027
6.3,0.0804571
6.4,0.0797083
6.5,0.0793563
6.6,0.0794011
6.7,0.0798427
6.8,0.0806811
6.9,0.0819163
7,0.0840393
7.1,0.0825087
7.2,0.0813773
7.3,0.0806452
7.4,0.0803123
7.5,0.0803788
7.6,0.0808446
7.7,0.0817096
7.8,0.0829739
7.9,0.0846375
8,0.0872146
8.1,0.0858686
8.2,0.0849241
8.3,0.084381
8.4,0.0842393
8.5,0.0844991
8.6,0.0851604
8.7,0.0862231
8.8,0.0876872
8.9,0.0895528
9,0.0923699
9.1,0.0908994
9.2,0.0898329
9.3,0.0891704
9.4,0.088912
9.5,0.0890575
9.6,0.089607
9.7,0.0905606
9.8,0.0919181
9.9,0.0936797
10,0.0964246
10.1,0.0947649
10.2,0.0935119
10.3,0.0926654
10.4,0.0922256
10.5,0.0921923
10.6,0.0925656
10.7,0.0933456
10.8,0.0945321
10.9,0.0961252
11,0.0987227
11.1,0.0970074
11.2,0.0957013
11.3,0.0948044
11.4,0.0943168
11.5,0.0942383
11.6,0.0945691
11.7,0.0953091
11.8,0.0964583
11.9,0.0980167
12,0.100598
12.1,0.0990408
12.2,0.0978954
12.3,0.0971619
12.4,0.0968402
12.5,0.0969304
12.6,0.0974325
12.7,0.0983465
12.8,0.0996723
12.9,0.10141
13,0.104201
13.1,0.102845
13.2,0.101903
13.3,0.101377
13.4,0.101264
13.5,0.101567
13.6,0.102283
13.7,0.103415
13.8,0.104961
13.9,0.106921
14,0.10998
14.1,0.108697
14.2,0.107832
14.3,0.107384
14.4,0.107353
14.5,0.107739
14.6,0.108543
14.7,0.109764
14.8,0.111403
14.9,0.113458
15,0.116663
15.1,0.115284
15.2,0.114326
15.3,0.113787
